id,artist,project,title,start_date,end_date,year,country,city,venue,series_or_tour,is_festival,status,canceled_reason,setlist,media_links,sources,notes,event_type,type_tags,co_artists,organizer,created_at,updated_at
2017-12-22-01,자우림,jaurim,자우림 XX,2017-12-22,2017-12-24,2017,KR,서울,블루스퀘어 아이마켓홀,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2017-12-31-01,자우림,jaurim,자우림 XX,2017-12-31,2017-12-31,2017,KR,부산,KBS홀,,false,held,,,,,,,solo,year-end,,,2025-08-09,2025-08-09
2018-07-07-01,자우림,jaurim,자우림 청춘예찬,2018-07-07,2018-07-08,2018,KR,서울,올림픽공원 SK핸드볼경기장,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2018-12-24-01,자우림,jaurim,윈터 원더랜드,2018-12-24,2018-12-25,2018,KR,서울,코엑스몰,,false,held,,,,,,,solo,christmas,,,2025-08-09,2025-08-09
2018-12-29-01,자우림,jaurim,윈터 원더랜드,2018-12-29,2018-12-29,2018,KR,부산,KBS 부산홀,,false,held,,,,,,,solo,christmas,,,2025-08-09,2025-08-09
2021-01-29-01,자우림,jaurim,잎새에 적은 노래,2021-01-29,2021-01-31,2021,KR,서울,올림픽홀,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2021-06-18-01,자우림,jaurim,잎새에 적은 노래 안단테 드라마티코,2021-06-18,2021-06-20,2021,KR,서울,올림픽홀,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2021-11-26-01,자우림,jaurim,"영원한, 사랑",2021-11-26,2021-11-28,2021,KR,서울,올림픽홀,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2022-07-01-01,자우림,jaurim,HAPPY 25TH JAURIM,2022-07-01,2022-07-03,2022,KR,서울,올림픽홀,,false,held,,,,,,,solo,anniversary,,,2025-08-09,2025-08-09
2022-12-09-01,자우림,jaurim,MERRY SPOOKY X-MAS,2022-12-09,2022-12-11,2022,KR,서울,올림픽홀,,false,held,,,,,,,solo,christmas,,,2025-08-09,2025-08-09
2022-12-30-01,자우림,jaurim,MERRY SPOOKY JAURIM,2022-12-30,2022-12-31,2022,KR,부산,벡스코,,false,held,,,,,,,solo,year-end,,,2025-08-09,2025-08-09
2023-01-07-01,자우림,jaurim,MERRY SPOOKY JAURIM,2023-01-07,2023-01-07,2023,KR,광주,김대중컨벤션센터,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2023-12-23-01,자우림,jaurim,MIDNIGHT EXPRESS 2023-2024,2023-12-23,2023-12-23,2023,KR,광주,김대중컨벤션센터,MIDNIGHT EXPRESS,false,held,,,,,,,solo,year-end,,,2025-08-09,2025-08-09
2023-12-25-01,자우림,jaurim,MIDNIGHT EXPRESS 2023-2024,2023-12-25,2023-12-25,2023,KR,부산,벡스코 오디토리움,MIDNIGHT EXPRESS,false,held,,,,,,,solo,year-end,,,2025-08-09,2025-08-09
2023-12-29-01,자우림,jaurim,MIDNIGHT EXPRESS 2023-2024,2023-12-29,2023-12-31,2023,KR,서울,장충체육관,MIDNIGHT EXPRESS,false,held,,,,,,,solo,year-end,,,2025-08-09,2025-08-09
2024-03-09-01,자우림,jaurim,팬 콘서트 시크릿 쥬~쥬 총회 1기,2024-03-09,2024-03-10,2024,KR,서울,블루스퀘어 마스터카드홀,,false,held,,,,,,,fan_event,,,,2025-08-09,2025-08-09
2024-12-27-01,자우림,jaurim,MIDNIGHT EXPRESS 2024-2025,2024-12-27,2024-12-29,2024,KR,서울,SK올림픽핸드볼경기장,MIDNIGHT EXPRESS,false,held,,,,,,,solo,year-end,,,2025-08-09,2025-08-09
2025-02-01-01,자우림,jaurim,TOKYO EXPRESS 2025,2025-02-01,2025-02-02,2025,JP,도쿄,Spotify O-East,TOKYO EXPRESS,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
2025-04-26-01,자우림,jaurim,팬 콘서트 시크릿 쥬~쥬 총회 2기,2025-04-26,2025-04-26,2025,KR,서울,,,false,held,,,,,,,fan_event,,,,2025-08-09,2025-08-09
2001-12-26-01,김윤아,kimyouna,Shadow of your smile 콘서트,2001-12-26,2001-12-28,2001,KR,서울,매사 팝콘홀,,false,held,,,,,,,solo,,,,2025-08-09,2025-08-09
